code_name,SMILES
mol_1,O=Cc1cc(Br)c2c(c1)OCO2
mol_2,COc1cc(C=O)cc(Br)c1OCC(=O)N(C)C
mol_3,COC(=O)c1cc(Br)ccc1N
mol_4,O=Cc1ccc(OCCO)cc1Br
mol_5,O=C1CCOc2ccc(Br)cc21
mol_6,O=Cc1csc(-c2cccc(Br)c2)n1
mol_7,CCCc1ccc(Br)cc1
mol_8,O=C1Nc2ccc(Br)cc2C1=O
mol_9,CN(C)c1cc(Br)ccc1CO
mol_10,COc1cc(C=O)cc(Br)c1OC(F)F
mol_11,CC(=O)Nc1ccc(Br)cc1
mol_12,CCOc1cc(C=O)cc(Br)c1OCc1ccccc1
mol_13,C=CCOc1c(Br)cc(C=O)cc1OC
mol_14,C=CCOc1ccc(C=O)cc1Br
mol_15,CN1C(=O)Cc2cc(Br)ccc21
mol_16,N#CCc1ccc(F)c(Br)c1
mol_17,O=C1Nc2c(Br)cccc2C1=O
mol_18,O=C(Nc1ccc(Br)cc1)c1ccccc1
mol_19,Cn1c(=O)c(Br)c(N)n(Cc2ccccc2)c1=O
mol_20,O=C1Nc2c(Br)cc(F)cc2C1=O
mol_21,OB(O)c1ccc(Br)cc1
mol_22,CC1(c2ccccc2Br)NC(=O)NC1=O
mol_23,Cc1cc(Br)ccc1O
mol_24,CCOc1cc(C=O)ccc1OCCOc1ccc(Br)cc1
mol_25,CCOC(=O)c1oc2ccc(Br)cc2c1C
mol_26,CCOc1c(Br)cc(C(=O)OC)cc1OC
mol_27,O=Cc1cn(-c2ccccc2)nc1-c1cccc(Br)c1
mol_28,NNC(=O)COc1cccc(Br)c1
mol_29,CCOc1ccc(NS(=O)(=O)c2ccc(OC)c(N)c2)cc1Br
mol_30,Cc1ccc(F)cc1Br
mol_31,CC(=O)c1ccc(F)c(Br)c1
mol_32,Cn1nc(Br)c(=O)n(C)c1=O
mol_33,Nc1cc(Br)cc(C(F)(F)F)c1
mol_34,CCOc1c(Br)cc(C(=O)NN)cc1OC
mol_35,Cc1cc(Br)cc(C)c1N
mol_36,CCCOc1c(Br)cc(C=O)cc1OC
mol_37,NC(=O)c1cc(F)ccc1Br
mol_38,COc1ccc(Br)cc1F
mol_39,CC(=O)N(c1cccc(C(F)(F)F)c1)c1nc(C=O)c(Br)s1
mol_40,O=Cc1cc(Br)ccc1OC(F)F
mol_41,CC(Oc1cccc(Br)c1)C(=O)NN
mol_42,CCOc1cc(C#N)cc(Br)c1O
mol_43,C=Cc1ccc(Br)cc1
mol_44,Nc1cc(S(=O)(=O)N2CCOCC2)ccc1Oc1cccc(Br)c1
mol_45,OCc1cc(Br)cc(CO)c1O
mol_46,Brc1ccc(-c2csc(NCC3CCCO3)n2)cc1
mol_47,Cc1cn2nc(Br)sc2n1
mol_48,CC1(c2cccc(Br)c2)NC(=O)NC1=O
mol_49,Cc1cccc(Br)c1C
mol_50,NS(=O)(=O)c1ccc(Br)s1
mol_51,N#Cc1cc(F)ccc1Br
mol_52,Brc1cn[nH]c1
mol_53,Brc1ccc(-c2nnn[nH]2)o1
mol_54,O=C1CCCOc2ccc(Br)cc21
mol_55,Brc1ncccn1
mol_56,Brc1ccc2ncccc2c1
mol_57,CC(C)(C)c1cn2nc(Br)sc2n1
mol_58,Cc1cc(=O)n2nc(Br)sc2n1
mol_59,Brc1cc[nH]c2nccc1-2
mol_60,Fc1ccc(Br)cn1
mol_61,Nc1c(F)cc(Br)cc1F
mol_62,NNc1ncnc2cc(-c3ccc(Br)cc3)sc12
mol_63,NC(=O)Nc1ccc(Br)cc1
mol_64,Nc1nnc(-c2ccccc2Br)[nH]1
mol_65,COc1ccc(C(C)=O)cc1Br
