code_name,SMILES,Br_Partial charge,Br_Dipole moment,Br_Electrophil.,Br_Nucleophil.,Br_Radical attack,Br_SASA,Br_Buried volume,Br_H bond with H2O,Br_s proportion,Br_p proportion,Br_d proportion,Br_Coord. numbers,Br_Polariz. alpha,Br_FOD,Br_Dispersion,Br_Pyramidalization,Br_Pyramidaliz. volume,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP
mol_1,O=Cc1cc(Br)c2c(c1)OCO2,0.1623,0.0995,0.1607,0.2646,0.2119,76.1213,0.2524,-0.004,1.948,5.171,0.02,1.058,22.128,0.0305,18.6928,2,16.1838,9.2704,-9.3192,-0.0488,8.6618,0.7979,3.1783,0,338.4596,-4.1704,-1.3867,-9.7866,116.418,0.2489,7.8639,0.1272,4.7298,1.4224,0.877,13.3398,4.9938,67.1935,1.9903
mol_2,COc1cc(C=O)cc(Br)c1OCC(=O)N(C)C,0.1751,0.1861,0.1239,0.1343,0.1291,60.201,0.3072,-0.003,1.948,5.158,0.022,1.113,22.154,0.0238,21.1677,2,15.873,9.0932,-9.2392,-0.146,7.948,0.7296,3.7354,0,473.43,-11.9372,-2.3483,-9.5083,178.955,0.3025,7.2184,0.1385,4.3388,1.304,0.9563,11.7955,5.7449,66.2552,1.7372
mol_3,COC(=O)c1cc(Br)ccc1N,0.1185,0.0261,0.1115,0.2608,0.1862,78.9714,0.2349,-0.004,1.951,5.197,0.019,1.064,22.212,0.0299,18.5125,1.9998,16.1412,9.1719,-8.7488,0.4231,8.0358,0.0488,5.1645,0,357.5315,-13.5887,-3.3306,-8.9241,125.3704,0.1797,7.987,0.1252,4.0423,1.0229,1.095,12.9372,4.4122,73.9884,1.8179
mol_4,O=Cc1ccc(OCCO)cc1Br,0.1676,0.0596,0.1602,0.2211,0.1907,70.5912,0.2693,-0.004,1.95,5.169,0.032,1.077,22.174,0.0298,19.4753,1.999,12.9382,9.6031,-9.6597,-0.0566,8.5697,0.6117,4.6957,0,383.7392,-10.8441,-5.5099,-9.6134,132.8799,0.225,7.958,0.1257,4.5907,1.3241,0.919,12.8846,4.8334,68.8582,1.6327
mol_5,O=C1CCOc2ccc(Br)cc21,0.1336,0.0341,0.1458,0.3235,0.2347,78.8214,0.2355,-0.004,1.951,5.189,0.017,1.067,22.186,0.0393,18.4649,1.9983,16.1295,9.3223,-9.5508,-0.2285,8.4991,0.6343,3.4382,0,344.2005,-6.1726,-1.6433,-9.5496,122.7463,0.226,7.8648,0.1271,4.5667,1.3258,0.9214,13.2505,4.9048,69.053,2.4143
mol_6,O=Cc1csc(-c2cccc(Br)c2)n1,0.1375,0.0344,0.131,0.3376,0.2351,78.6314,0.2358,-0.004,1.951,5.174,0.012,1.071,22.187,0.0401,18.7746,2,16.1155,9.1278,-9.515,-0.3872,8.4477,1.3309,2.8864,0,397.3218,-5.2508,-1.2584,-9.8553,155.2345,0.3554,7.1168,0.1405,4.8893,1.6795,0.8002,12.649,6.5127,66.4462,3.3851
mol_7,CCCc1ccc(Br)cc1,0.1207,0.0272,0.114,0.1884,0.1509,78.7914,0.2352,-0.004,1.951,5.2,0.051,1.063,22.225,0.0178,18.3498,1.9995,16.1304,10.8667,-9.7296,1.1371,8.435,-1.0887,1.8824,0,344.9328,-2.8033,-0.6125,-8.6533,121.418,0.0644,9.5237,0.105,3.6732,0.7084,1.2992,13.1026,2.9381,99.7054,3.4016
mol_8,O=C1Nc2ccc(Br)cc2C1=O,0.1388,0.0403,0.2103,0.4653,0.3387,78.5814,0.2365,-0.004,1.95,5.177,0.017,1.071,22.166,0.0607,18.4726,2,16.0981,8.1294,-9.6105,-1.4811,8.7744,1.7128,5.5888,0,335.6994,-11.342,-3.0767,-10.2472,117.6122,0.5719,7.0616,0.1416,5.2436,1.9468,0.7187,13.6908,5.9824,43.2974,1.5839
mol_9,CN(C)c1cc(Br)ccc1CO,0.1198,0.0283,0.1,0.1154,0.1077,78.7014,0.2352,-0.004,1.952,5.197,0.05,1.067,22.23,0.0123,18.6148,1.9987,16.1209,9.7218,-8.5791,1.1427,7.7338,-1.0303,2.0798,0,372.1515,-8.001,-3.8683,-8.288,135.4629,0.1096,8.7641,0.1141,3.3518,0.6409,1.4263,12.3836,3.1974,90.171,2.0074
mol_10,COc1cc(C=O)cc(Br)c1OC(F)F,0.1823,0.1602,0.1762,0.3414,0.2596,71.9612,0.2714,-0.004,1.947,5.156,0.021,1.097,22.095,0.0459,19.4224,1.9999,16.0889,9.4053,-9.694,-0.2887,8.9127,1.0406,5.4361,0,395.5591,-7.7416,-1.9782,-10.0005,136.0736,0.254,7.8721,0.127,4.9766,1.5731,0.8161,13.4199,5.2955,68.1598,2.8716
mol_11,CC(=O)Nc1ccc(Br)cc1,0.1233,0.0261,0.1215,0.2261,0.1742,78.8914,0.2354,-0.004,1.951,5.188,0.044,1.064,22.213,0.0206,18.3108,2,16.1298,10.2253,-9.2205,1.0048,8.2685,-0.3978,4.3105,0,350.0419,-10.1358,-2.0837,-8.8157,120.4754,0.1001,8.6663,0.1154,3.9353,0.8935,1.1638,13.1111,4.1875,88.11,2.4075
mol_12,CCOc1cc(C=O)cc(Br)c1OCc1ccccc1,0.1739,0.1805,0.1052,0.1394,0.1217,63.4711,0.2967,-0.003,1.948,5.147,0.019,1.112,22.155,0.0273,21.0832,1.9995,15.8793,9.0743,-9.1448,-0.0705,7.7779,0.6956,2.9819,0,513.0725,-6.2727,-1.3131,-9.3782,207.3118,0.3039,7.0823,0.1412,4.2367,1.2672,0.9813,11.5349,6.1773,66.0287,4.2393
mol_13,C=CCOc1c(Br)cc(C=O)cc1OC,0.1765,0.1809,0.1205,0.1764,0.149,63.9511,0.2949,-0.003,1.948,5.155,0.021,1.113,22.145,0.0326,20.3681,1.9999,15.8782,9.0926,-9.1407,-0.0481,8.0389,0.5737,6.0642,0,420.7618,-7.3573,-1.4095,-9.4174,155.7855,0.2722,7.4652,0.134,4.3063,1.242,0.9797,12.1811,5.47,66.3632,2.835
mol_14,C=CCOc1ccc(C=O)cc1Br,0.1597,0.1536,0.127,0.2643,0.1957,73.5513,0.266,-0.004,1.949,5.165,0.018,1.084,22.162,0.0361,19.3485,1.9996,16.0907,9.5365,-9.5322,0.0043,8.4206,0.5893,3.4678,0,388.7516,-5.8488,-1.3021,-9.5395,139.1508,0.2315,7.8313,0.1277,4.505,1.2958,0.9375,12.7529,5.5031,69.6192,2.8264
mol_15,CN1C(=O)Cc2cc(Br)ccc21,0.1233,0.0349,0.1195,0.2045,0.162,78.6214,0.2362,-0.004,1.951,5.187,0.042,1.069,22.209,0.0187,18.5262,2,16.0963,9.7834,-8.8102,0.9732,8.1546,-0.38,2.1135,0,352.7714,-7.9926,-1.8276,-8.8072,127.0665,0.1054,8.5346,0.1172,3.8873,0.8853,1.1771,12.9324,4.2138,86.135,1.968
mol_16,N#CCc1ccc(F)c(Br)c1,0.1623,0.0696,0.1581,0.2785,0.2183,75.1913,0.2563,-0.004,1.949,5.167,0.046,1.06,22.134,0.0253,18.4874,1.9997,16.1523,10.8378,-9.9612,0.8766,9.07,-0.1592,3.5466,0,338.2416,-10.4653,-1.5495,-9.378,111.5459,0.0852,9.2292,0.1084,4.4554,1.0754,1.009,14.0566,4.2825,96.6354,2.65428
mol_17,O=C1Nc2c(Br)cccc2C1=O,0.1541,0.0701,0.1955,0.4045,0.3,73.4213,0.2531,-0.004,1.951,5.171,0.017,1.049,22.177,0.0438,19.0022,2,16.1722,8.1465,-9.6182,-1.4717,8.8839,1.6786,5.3698,0,331.5493,-8.5187,-2.5386,-10.2231,117.5934,0.5501,7.2053,0.1388,5.2812,1.9355,0.7182,13.8669,5.9315,43.7384,1.5839
