code_name,SMILES,C#C_C_1_Partial charge,C#C_C_1_Dipole moment,C#C_C_1_Electrophil.,C#C_C_1_Nucleophil.,C#C_C_1_Radical attack,C#C_C_1_SASA,C#C_C_1_Buried volume,C#C_C_1_H bond with H2O,C#C_C_2_Partial charge,C#C_C_2_Dipole moment,C#C_C_2_Electrophil.,C#C_C_2_Nucleophil.,C#C_C_2_Radical attack,C#C_C_2_SASA,C#C_C_2_Buried volume,C#C_C_2_H bond with H2O,C#C_max_Partial charge,C#C_max_Dipole moment,C#C_max_Electrophil.,C#C_max_Nucleophil.,C#C_max_Radical attack,C#C_max_SASA,C#C_max_Buried volume,C#C_max_H bond with H2O,C#C_min_Partial charge,C#C_min_Dipole moment,C#C_min_Electrophil.,C#C_min_Nucleophil.,C#C_min_Radical attack,C#C_min_SASA,C#C_min_Buried volume,C#C_min_H bond with H2O,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,MolLogP
alkyne_1,C#Cc1ccccc1,-0.0217,0.3341,0.077,0.0849,0.0806,52.6712,0.2495,-0.003,-0.0101,0.7548,0.0421,0.0571,0.0492,13.4803,0.4448,-0.001,-0.0101,0.7548,0.077,0.0849,0.0806,52.6712,0.4448,-0.001,-0.0217,0.3341,0.0421,0.0571,0.0492,13.4803,0.2495,-0.003,10.0863,-9.2476,0.8387,8.7178,-1.1966,0.3598,0,279.1032,-1.4207,-0.4507,1.6679
alkyne_2,C#Cc1ccc(C)cc1,-0.0241,0.3343,0.0678,0.0671,0.0671,52.7112,0.2493,-0.003,-0.0116,0.7513000000000001,0.0368,0.042,0.0394,13.6003,0.4446,-0.001,-0.0116,0.7513000000000001,0.0678,0.0671,0.0671,52.7112,0.4446,-0.001,-0.0241,0.3343,0.0368,0.042,0.0394,13.6003,0.2493,-0.003,9.9599,-9.0583,0.9016,8.2329,-1.2386,0.8715,0,307.9732,-1.7174,-0.5637,1.97632
alkyne_3,C#Cc1cccc(C)c1,-0.0219,0.3354,0.0703,0.0657,0.0677,52.6712,0.2497,-0.003,-0.0093,0.7557,0.0385,0.0418,0.0398,13.3703,0.4453,-0.001,-0.0093,0.7557,0.0703,0.0657,0.0677,52.6712,0.4453,-0.001,-0.0219,0.3354,0.0385,0.0418,0.0398,13.3703,0.2497,-0.003,10.0824,-9.2139,0.8685,8.3998,-1.2447,0.6946,0,308.0632,-1.6931,-0.5635,1.97632
alkyne_4,C#Cc1ccccc1C,-0.025,0.3228,0.0698,0.0651,0.0671,47.0911,0.2741,-0.003,-0.0098,0.7559,0.0379,0.0386,0.0386,9.7302,0.4888,-0.001,-0.0098,0.7559,0.0698,0.0651,0.0671,47.0911,0.4888,-0.001,-0.025,0.3228,0.0379,0.0386,0.0386,9.7302,0.2741,-0.003,9.9663,-9.1257,0.8406,8.3722,-1.2271,0.4359,0,300.713,-1.5203,-0.534,1.97632
alkyne_5,C#CCCc1ccccc1,-0.0464,0.3346,0.0202,0.04,0.0301,42.391,0.2901,-0.002,0.0096,0.9705,0.0119,0.0291,0.0202,13.6703,0.4704,-0.001,0.0096,0.9705,0.0202,0.04,0.0301,42.391,0.4704,-0.001,-0.0464,0.3346,0.0119,0.0291,0.0202,13.6703,0.2901,-0.002,11.3278,-9.5712,1.7566000000000002,8.3653,-1.8521,0.4217,0,325.4728,-1.8411,-0.5567,2.2524
alkyne_6,C#CCc1ccccc1,-0.0452,0.3348,0.0308,0.0508,0.0411,51.7512,0.2563,-0.003,0.0087,0.9819,0.016,0.0406,0.028,12.7303,0.4406,-0.001,0.0087,0.9819,0.0308,0.0508,0.0411,51.7512,0.4406,-0.001,-0.0452,0.3348,0.016,0.0406,0.028,12.7303,0.2563,-0.003,11.4078,-9.8161,1.5917,8.6361,-1.7473,0.4089,0,307.1731,-1.8068,-0.5582,1.8623
alkyne_7,C#Cc1ccc(CC)cc1,-0.0223,0.3339,0.0681,0.0662,0.0668,52.6512,0.2492,-0.003,-0.0117,0.7533000000000001,0.0367,0.0413,0.0393,13.5203,0.4446,-0.001,-0.0117,0.7533000000000001,0.0681,0.0662,0.0668,52.6512,0.4446,-0.001,-0.0223,0.3339,0.0367,0.0413,0.0393,13.5203,0.2492,-0.003,9.9244,-9.1188,0.8056000000000001,8.2183,-1.1951,0.7718,0,335.3231,-1.6417000000000002,-0.5386000000000001,2.230299999999999
alkyne_8,C#Cc1ccc(CCC)cc1,-0.0217,0.3337,0.0663,0.0599,0.0631,52.7112,0.2492,-0.003,-0.0119,0.7536,0.0361,0.0374,0.0367,13.4703,0.4444,-0.001,-0.0119,0.7536,0.0663,0.0599,0.0631,52.7112,0.4444,-0.001,-0.0217,0.3337,0.0361,0.0374,0.0367,13.4703,0.2492,-0.003,9.9189,-9.1411,0.7778,8.0984,-1.1829,0.7405,0,357.453,-1.6726,-0.5488000000000001,2.620400000000001
alkyne_9,C#Cc1cc(C)cc(C)c1,-0.0223,0.3364,0.0652,0.0558,0.0608,52.7512,0.2497,-0.003,-0.0088,0.7564000000000001,0.0357,0.0332,0.0345,13.4303,0.4452,-0.001,-0.0088,0.7564000000000001,0.0652,0.0558,0.0608,52.7512,0.4452,-0.001,-0.0223,0.3364,0.0357,0.0332,0.0345,13.4303,0.2497,-0.003,10.0807,-9.1767,0.904,8.1727,-1.2853,0.8194,0,336.8032,-1.9051,-0.669,2.28474
alkyne_10,C#CC(C)c1ccccc1,-0.0394,0.3189,0.0262,0.0458,0.036,47.7111,0.2799,-0.003,0.003,0.9427,0.0104,0.0306,0.0207,8.4402,0.4997,-0.001,0.003,0.9427,0.0262,0.0458,0.036,47.7111,0.4997,-0.001,-0.0394,0.3189,0.0104,0.0306,0.0207,8.4402,0.2799,-0.003,11.415,-9.7797,1.6353,8.4667,-1.7787000000000002,0.5067,0,328.6629,-1.6268,-0.5313,2.4233
