code_name,SMILES,C#C_C_1_Partial charge,C#C_C_1_Dipole moment,C#C_C_1_Electrophil.,C#C_C_1_Nucleophil.,C#C_C_1_Radical attack,C#C_C_1_SASA,C#C_C_1_Buried volume,C#C_C_1_H bond with H2O,C#C_C_1_s proportion,C#C_C_1_p proportion,C#C_C_1_d proportion,C#C_C_1_Coord. numbers,C#C_C_1_Polariz. alpha,C#C_C_1_FOD,C#C_C_1_Dispersion,C#C_C_1_Pyramidalization,C#C_C_1_Pyramidaliz. volume,C#C_C_2_Partial charge,C#C_C_2_Dipole moment,C#C_C_2_Electrophil.,C#C_C_2_Nucleophil.,C#C_C_2_Radical attack,C#C_C_2_SASA,C#C_C_2_Buried volume,C#C_C_2_H bond with H2O,C#C_C_2_s proportion,C#C_C_2_p proportion,C#C_C_2_d proportion,C#C_C_2_Coord. numbers,C#C_C_2_Polariz. alpha,C#C_C_2_FOD,C#C_C_2_Dispersion,C#C_C_2_Pyramidalization,C#C_C_2_Pyramidaliz. volume,C#C_max_Partial charge,C#C_max_Dipole moment,C#C_max_Electrophil.,C#C_max_Nucleophil.,C#C_max_Radical attack,C#C_max_SASA,C#C_max_Buried volume,C#C_max_H bond with H2O,C#C_max_s proportion,C#C_max_p proportion,C#C_max_d proportion,C#C_max_Coord. numbers,C#C_max_Polariz. alpha,C#C_max_FOD,C#C_max_Dispersion,C#C_max_Pyramidalization,C#C_max_Pyramidaliz. volume,C#C_min_Partial charge,C#C_min_Dipole moment,C#C_min_Electrophil.,C#C_min_Nucleophil.,C#C_min_Radical attack,C#C_min_SASA,C#C_min_Buried volume,C#C_min_H bond with H2O,C#C_min_s proportion,C#C_min_p proportion,C#C_min_d proportion,C#C_min_Coord. numbers,C#C_min_Polariz. alpha,C#C_min_FOD,C#C_min_Dispersion,C#C_min_Pyramidalization,C#C_min_Pyramidaliz. volume,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP
alkyne_1,C#Cc1ccccc1,-0.0217,0.3341,0.077,0.0849,0.0806,52.6712,0.2495,-0.003,1.061,3.221,0.0,1.909,9.401,0.0107,15.6827,2.0,0.6145,-0.0101,0.7548,0.0421,0.0571,0.0492,13.4803,0.4448,-0.001,1.109,2.9450000000000003,0.0,1.981,9.086,0.0048,21.6752,0.0,0.127,-0.0101,0.7548,0.077,0.0849,0.0806,52.6712,0.4448,-0.001,1.109,3.221,0.0,1.981,9.401,0.0107,21.6752,2.0,0.6145,-0.0217,0.3341,0.0421,0.0571,0.0492,13.4803,0.2495,-0.003,1.061,2.9450000000000003,0.0,1.909,9.086,0.0048,15.6827,0.0,0.127,10.0863,-9.2476,0.8387,8.7178,-1.1966,0.3598,0,279.1032,-1.4207,-0.4507,-8.5768,85.7558,0.0604,9.9144,0.1009,3.7606,0.7132000000000001,1.2734,14.5466,2.6731,92.3776,1.6679
alkyne_2,C#Cc1ccc(C)cc1,-0.0241,0.3343,0.0678,0.0671,0.0671,52.7112,0.2493,-0.003,1.061,3.217,0.0,1.909,9.411,0.0108,15.7508,0.0,0.1686,-0.0116,0.7513000000000001,0.0368,0.042,0.0394,13.6003,0.4446,-0.001,1.108,2.9450000000000003,0.0,1.981,9.089,0.0045,21.6952,2.0,0.426,-0.0116,0.7513000000000001,0.0678,0.0671,0.0671,52.7112,0.4446,-0.001,1.108,3.217,0.0,1.981,9.411,0.0108,21.6952,2.0,0.426,-0.0241,0.3343,0.0368,0.042,0.0394,13.6003,0.2493,-0.003,1.061,2.9450000000000003,0.0,1.909,9.089,0.0045,15.7508,0.0,0.1686,9.9599,-9.0583,0.9016,8.2329,-1.2386,0.8715,0,307.9732,-1.7174,-0.5637,-8.3864,97.2837,0.0638,9.4715,0.1056,3.4972,0.6456000000000001,1.3767,13.577,2.8209,90.1966,1.97632
alkyne_3,C#Cc1cccc(C)c1,-0.0219,0.3354,0.0703,0.0657,0.0677,52.6712,0.2497,-0.003,1.061,3.217,0.0,1.909,9.407,0.0103,15.9209,2.0,1.0566,-0.0093,0.7557,0.0385,0.0418,0.0398,13.3703,0.4453,-0.001,1.109,2.9450000000000003,0.0,1.981,9.086,0.0045,21.9244,0.0,0.1287,-0.0093,0.7557,0.0703,0.0657,0.0677,52.6712,0.4453,-0.001,1.109,3.217,0.0,1.981,9.407,0.0103,21.9244,2.0,1.0566,-0.0219,0.3354,0.0385,0.0418,0.0398,13.3703,0.2497,-0.003,1.061,2.9450000000000003,0.0,1.909,9.086,0.0045,15.9209,0.0,0.1287,10.0824,-9.2139,0.8685,8.3998,-1.2447,0.6946,0,308.0632,-1.6931,-0.5635,-8.4559,97.2862,0.0624,9.6445,0.1037,3.5776,0.6636000000000001,1.3446,13.7669,2.7584,92.1,1.97632
alkyne_4,C#Cc1ccccc1C,-0.025,0.3228,0.0698,0.0651,0.0671,47.0911,0.2741,-0.003,1.061,3.217,0.0,1.909,9.415,0.0108,16.7684,0.0,0.461,-0.0098,0.7559,0.0379,0.0386,0.0386,9.7302,0.4888,-0.001,1.108,2.942,0.0,1.982,9.079,0.0045,23.0022,2.0,1.2239,-0.0098,0.7559,0.0698,0.0651,0.0671,47.0911,0.4888,-0.001,1.108,3.217,0.0,1.982,9.415,0.0108,23.0022,2.0,1.2239,-0.025,0.3228,0.0379,0.0386,0.0386,9.7302,0.2741,-0.003,1.061,2.942,0.0,1.909,9.079,0.0045,16.7684,0.0,0.461,9.9663,-9.1257,0.8406,8.3722,-1.2271,0.4359,0,300.713,-1.5203,-0.534,-8.4449,97.2912,0.0642,9.5993,0.1042,3.5725,0.6648000000000001,1.3456,13.8459,2.7671,90.9274,1.97632
alkyne_5,C#CCCc1ccccc1,-0.0464,0.3346,0.0202,0.04,0.0301,42.391,0.2901,-0.002,1.069,3.114,0.0,1.909,9.457,0.0033,17.5691,0.0,0.4258,0.0096,0.9705,0.0119,0.0291,0.0202,13.6703,0.4704,-0.001,1.103,2.935,0.0,1.966,9.094,0.0025,21.795,0.0144,1.2084,0.0096,0.9705,0.0202,0.04,0.0301,42.391,0.4704,-0.001,1.103,3.114,0.0,1.966,9.457,0.0033,21.795,0.0144,1.2084,-0.0464,0.3346,0.0119,0.0291,0.0202,13.6703,0.2901,-0.002,1.069,2.935,0.0,1.909,9.094,0.0025,17.5691,0.0,0.4258,11.3278,-9.5712,1.7566000000000002,8.3653,-1.8521,0.4217,0,325.4728,-1.8411,-0.5567,-8.2658,108.9836,0.0406,10.2174,0.0979,3.2566,0.519,1.5129,13.421,2.4585,108.7907,2.2524
alkyne_6,C#CCc1ccccc1,-0.0452,0.3348,0.0308,0.0508,0.0411,51.7512,0.2563,-0.003,1.069,3.137,0.0,1.909,9.46,0.0039,16.1049,0.0,0.0272,0.0087,0.9819,0.016,0.0406,0.028,12.7303,0.4406,-0.001,1.116,2.915,0.0,1.972,9.083,0.0031,22.0518,0.0103,0.8334,0.0087,0.9819,0.0308,0.0508,0.0411,51.7512,0.4406,-0.001,1.116,3.137,0.0,1.972,9.46,0.0039,22.0518,0.0103,0.8334,-0.0452,0.3348,0.016,0.0406,0.028,12.7303,0.2563,-0.003,1.069,2.915,0.0,1.909,9.083,0.0031,16.1049,0.0,0.0272,11.4078,-9.8161,1.5917,8.6361,-1.7473,0.4089,0,307.1731,-1.8068,-0.5582,-8.3836,97.3108,0.0412,10.3834,0.0963,3.4444,0.5713,1.423,13.8811,2.4146,109.1073,1.8623
alkyne_7,C#Cc1ccc(CC)cc1,-0.0223,0.3339,0.0681,0.0662,0.0668,52.6512,0.2492,-0.003,1.062,3.211,0.0,1.909,9.41,0.0108,15.9302,0.0,0.1531,-0.0117,0.7533000000000001,0.0367,0.0413,0.0393,13.5203,0.4446,-0.001,1.109,2.943,0.0,1.981,9.089,0.0045,21.8145,2.0,0.7523000000000001,-0.0117,0.7533000000000001,0.0681,0.0662,0.0668,52.6512,0.4446,-0.001,1.109,3.211,0.0,1.981,9.41,0.0108,21.8145,2.0,0.7523000000000001,-0.0223,0.3339,0.0367,0.0413,0.0393,13.5203,0.2492,-0.003,1.062,2.943,0.0,1.909,9.089,0.0045,15.9302,0.0,0.1531,9.9244,-9.1188,0.8056000000000001,8.2183,-1.1951,0.7718,0,335.3231,-1.6417000000000002,-0.5386000000000001,-8.4056,108.991,0.0649,9.4134,0.1062,3.5116,0.655,1.3683,13.2856,2.9213,90.2377,2.230299999999999
alkyne_8,C#Cc1ccc(CCC)cc1,-0.0217,0.3337,0.0663,0.0599,0.0631,52.7112,0.2492,-0.003,1.062,3.211,0.0,1.909,9.411,0.0108,15.8685,0.0,0.0956,-0.0119,0.7536,0.0361,0.0374,0.0367,13.4703,0.4444,-0.001,1.108,2.943,0.0,1.981,9.089,0.0045,22.1329,2.0,0.8255,-0.0119,0.7536,0.0663,0.0599,0.0631,52.7112,0.4444,-0.001,1.108,3.211,0.0,1.981,9.411,0.0108,22.1329,2.0,0.8255,-0.0217,0.3337,0.0361,0.0374,0.0367,13.4703,0.2492,-0.003,1.062,2.943,0.0,1.909,9.089,0.0045,15.8685,0.0,0.0956,9.9189,-9.1411,0.7778,8.0984,-1.1829,0.7405,0,357.453,-1.6726,-0.5488000000000001,-8.3951,120.6593,0.0665,9.2813,0.1077,3.4577,0.6441,1.39,12.8464,2.9638,89.924,2.620400000000001
alkyne_9,C#Cc1cc(C)cc(C)c1,-0.0223,0.3364,0.0652,0.0558,0.0608,52.7512,0.2497,-0.003,1.062,3.214,0.0,1.909,9.413,0.0101,16.0096,0.0,0.451,-0.0088,0.7564000000000001,0.0357,0.0332,0.0345,13.4303,0.4452,-0.001,1.108,2.9450000000000003,0.0,1.982,9.086,0.0042,22.2315,2.0,0.93,-0.0088,0.7564000000000001,0.0652,0.0558,0.0608,52.7512,0.4452,-0.001,1.108,3.214,0.0,1.982,9.413,0.0101,22.2315,2.0,0.93,-0.0223,0.3364,0.0357,0.0332,0.0345,13.4303,0.2497,-0.003,1.062,2.9450000000000003,0.0,1.909,9.086,0.0042,16.0096,0.0,0.451,10.0807,-9.1767,0.904,8.1727,-1.2853,0.8194,0,336.8032,-1.9051,-0.669,-8.3502,108.8234,0.0646,9.458,0.1057,3.4437,0.6269,1.4018000000000002,13.1985,2.8414,91.8538,2.28474
alkyne_10,C#CC(C)c1ccccc1,-0.0394,0.3189,0.0262,0.0458,0.036,47.7111,0.2799,-0.003,1.07,3.124,0.0,1.909,9.455,0.0035,17.0795,2.0,0.6995,0.003,0.9427,0.0104,0.0306,0.0207,8.4402,0.4997,-0.001,1.118,2.912,0.0,1.978,9.091,0.0027,23.2118,0.0017,0.1932,0.003,0.9427,0.0262,0.0458,0.036,47.7111,0.4997,-0.001,1.118,3.124,0.0,1.978,9.455,0.0035,23.2118,2.0,0.6995,-0.0394,0.3189,0.0104,0.0306,0.0207,8.4402,0.2799,-0.003,1.07,2.912,0.0,1.909,9.091,0.0027,17.0795,0.0017,0.1932,11.415,-9.7797,1.6353,8.4667,-1.7787000000000002,0.5067,0,328.6629,-1.6268,-0.5313,-8.3379,109.0032,0.0413,10.2454,0.0976,3.344,0.5457000000000001,1.4689,13.539,2.4579,108.9953,2.4233
